match_api_id,home_formation_by_X,away_formation_by_X,home_formation_by_Y,away_formation_by_Y
1032789,3313,4321,343,433
1032790,451,352,451,352
1032791,433,532,433,532
1032792,532,541,532,541
1032793,352,343,352,343
1032794,442,442,442,442
1032795,4312,343,433,343
1032796,451,4231,451,451
1032797,352,541,352,541
1032799,343,442,343,442
1032801,433,442,433,442
1032803,442,442,442,442
1032804,442,352,442,352
1032805,442,352,442,352
1032806,442,442,442,442
1032807,442,433,442,433
1032808,532,352,532,352
1032809,442,352,442,352
1032811,433,451,433,451
1032812,442,442,442,442
1032813,442,442,442,442
1032814,532,352,532,352
1032815,4411,442,442,442
1032816,442,451,442,451
1032817,433,352,433,352
1032819,433,343,433,343
1032820,451,442,451,442
1032821,352,442,352,442
1032823,352,442,352,442
1032825,352,343,352,343
1032826,442,433,442,433
1032827,442,442,442,442
1032828,352,352,352,352
1032829,442,442,442,442
1032830,451,451,451,451
1032831,442,532,442,532
1032832,433,451,433,451
1032833,442,343,442,343
1032835,433,442,433,442
1032836,352,451,352,451
1032837,343,433,343,433
1032839,532,433,532,433
1032840,352,451,352,451
1032841,343,352,343,352
1032842,352,433,352,433
1032843,532,343,532,343
1032700,343,451,343,451
1032701,3142,352,442,352
1032703,451,451,451,451
1032705,352,352,352,352
1032706,442,352,442,352
1032707,433,532,433,532
1032844,442,442,442,442
1032845,352,433,352,433
1032846,541,352,541,352
1032847,4213,442,433,442
1032848,343,442,343,442
1032849,451,532,451,532
1032850,541,442,541,442
1032852,451,352,451,352
1032853,442,442,442,442
1032854,532,433,532,433
1032855,532,433,532,433
1032856,442,541,442,541
1032857,343,343,343,343
1032858,532,343,532,343
1032859,442,442,442,442
1032860,451,442,451,442
1032861,343,4132,343,532
1032862,343,532,343,532
1032863,541,451,541,451
1032864,343,343,343,343
1032865,352,352,352,352
1032866,532,433,532,433
1032867,433,442,433,442
1032868,352,433,352,433
1032869,442,451,442,451
1032870,532,352,532,352
1032871,442,352,442,352
1032872,433,433,433,433
1032873,532,451,532,451
1032874,451,442,451,442
1032875,343,343,343,343
1032876,442,532,442,532
1032877,343,352,343,352
1032878,532,433,541,433
1032879,4321,433,433,433
1032881,451,532,451,532
1032882,352,4141,352,541
1032883,442,343,442,343
1032884,532,442,532,442
1032885,442,4411,442,442
1032886,343,442,352,442
1032887,433,451,433,451
1032889,433,532,433,532
1032890,442,433,442,433
1032891,3511,343,352,343
1032892,3421,442,343,442
1032893,442,433,442,433
1032894,343,352,343,352
1032895,442,442,442,442
1032896,433,343,433,343
1032897,442,442,442,442
1032898,442,442,442,442
1032900,442,442,442,442
1032901,433,442,433,442
1032902,352,451,352,451
1032903,532,433,532,433
1032904,433,442,433,442
1032905,451,343,451,343
1032906,352,352,352,352
1032907,343,433,343,433
1032908,442,532,442,532
1032909,451,343,451,343
1032910,343,343,343,343
1032911,442,442,442,442
1032912,433,433,433,433
1032914,442,442,442,442
1032915,352,451,352,451
1032916,442,442,442,442
1032917,433,343,433,343
1032918,451,442,451,442
1032919,532,442,532,442
1032920,442,352,442,352
1032921,433,451,433,451
1032922,451,433,451,433
1032923,352,352,352,352
1032924,343,451,343,451
1032708,352,4321,352,433
1032710,442,433,442,433
1032711,433,451,433,451
1032712,352,352,352,352
1032713,3421,442,343,442
1032714,451,352,451,352
1032715,442,442,442,442
1032925,442,343,442,352
1032926,352,433,352,433
1032927,343,451,343,451
1032929,442,352,442,352
1032930,442,541,442,541
1032931,352,451,352,451
1032932,442,451,442,451
1032716,532,3511,532,352
1032717,4132,442,541,442
1032718,532,451,532,451
1032719,343,442,343,442
1032720,442,433,442,433
1032722,532,352,532,352
1032723,352,532,352,532
1032724,433,352,433,352
1032725,343,352,343,352
1032726,442,442,442,442
1032727,343,532,343,532
1032728,352,433,352,433
1032729,2143,532,343,532
1032731,21412,343,352,343
1032732,352,442,352,442
1032733,442,4411,442,442
1032734,451,352,451,352
1032735,532,451,532,451
1032736,442,442,442,442
1032737,352,442,352,442
1032738,442,433,442,433
1032739,442,442,442,442
1032740,352,442,352,442
1032741,451,352,451,352
1032742,442,433,442,433
1032743,442,442,442,442
1032744,442,442,442,442
1032745,442,352,442,352
1032746,532,451,532,451
1032747,532,532,532,532
1032748,442,442,442,442
1032749,352,442,352,442
1032750,532,3421,532,343
1032751,442,442,442,442
1032752,442,442,442,442
1032753,442,442,442,442
1032754,451,442,451,442
1032755,442,442,442,442
1032756,4141,451,541,451
1032757,352,352,352,352
1032758,442,442,442,442
1032759,442,451,442,451
1032760,442,442,442,442
1032761,442,442,442,442
1032763,442,442,442,442
1223976,4132,4141,451,451
1223977,433,433,433,433
1223980,4411,442,442,442
1223981,3142,4231,442,451
1223982,4141,442,451,442
1223983,433,3142,433,442
1223984,4141,221311,451,451
1223985,2242,4312,442,433
1224055,433,442,433,442
1224056,4231,442,451,442
1224057,3331,532,361,532
1224058,4231,4321,451,451
1224059,4231,4231,451,451
1224060,433,433,433,433
1224061,442,532,442,532
1224062,3511,532,352,532
1224063,4321,4321,451,451
1224064,442,433,442,433
1224065,433,442,433,442
1224066,442,4231,442,451
1224067,433,433,433,433
1224068,442,442,442,442
1224069,4141,4231,451,451
1224070,433,442,433,442
1224071,442,433,442,433
1224072,451,343,451,343
