match_api_id,country_id,league_id,season,stage,match_date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,match_result
492847,1,1,2008/2009,20,2009-02-01,9986,9991,2,5,away_win
492849,1,1,2008/2009,20,2009-01-31,9996,7947,0,2,away_win
492851,1,1,2008/2009,20,2009-01-31,10000,8203,1,1,draw
492853,1,1,2008/2009,20,2009-01-31,9985,9999,3,0,home_win
492856,1,1,2008/2009,20,2009-01-31,8342,4049,3,1,home_win
492858,1,1,2008/2009,20,2009-01-31,9993,10001,2,1,home_win
492989,1,1,2008/2009,21,2009-02-07,7947,8342,0,2,away_win
492990,1,1,2008/2009,21,2009-02-06,8571,9985,0,2,away_win
492991,1,1,2008/2009,21,2009-02-07,8635,9998,3,2,home_win
492992,1,1,2008/2009,21,2009-02-07,9987,10000,1,2,away_win
492993,1,1,2008/2009,21,2009-02-08,9984,9986,2,2,draw
492994,1,1,2008/2009,21,2009-02-08,10001,9994,1,0,home_win
492995,1,1,2008/2009,21,2009-02-07,4049,8203,1,5,away_win
492996,1,1,2008/2009,21,2009-02-07,9991,9996,2,0,home_win
492997,1,1,2008/2009,21,2009-02-07,9999,9993,2,2,draw
492998,1,1,2008/2009,22,2009-02-15,9986,8635,0,1,away_win
492999,1,1,2008/2009,22,2009-02-15,8342,9987,0,2,away_win
493000,1,1,2008/2009,22,2009-02-14,9993,9984,1,1,draw
493001,1,1,2008/2009,22,2009-02-14,8203,9991,3,3,draw
493002,1,1,2008/2009,22,2009-02-14,10000,7947,1,0,home_win
493003,1,1,2008/2009,22,2009-02-14,9994,9999,2,1,home_win
493004,1,1,2008/2009,22,2009-02-14,9998,8571,1,1,draw
493005,1,1,2008/2009,22,2009-02-14,9985,4049,4,0,home_win
493006,1,1,2008/2009,22,2009-02-14,9996,10001,0,0,draw
493007,1,1,2008/2009,23,2009-02-22,10001,8342,1,1,draw
493008,1,1,2008/2009,23,2009-02-22,8635,9985,4,2,home_win
493009,1,1,2008/2009,23,2009-02-21,9999,9998,3,2,home_win
493010,1,1,2008/2009,23,2009-02-21,4049,10000,0,6,away_win
493011,1,1,2008/2009,23,2009-02-21,8571,9986,1,1,draw
493012,1,1,2008/2009,23,2009-02-21,9984,9994,0,0,draw
493013,1,1,2008/2009,23,2009-02-21,7947,8203,1,2,away_win
493014,1,1,2008/2009,23,2009-02-20,9987,9996,1,1,draw
493015,1,1,2008/2009,23,2009-02-21,9991,9993,1,3,away_win
493016,1,1,2008/2009,24,2009-02-28,9996,8635,1,1,draw
493017,1,1,2008/2009,24,2009-02-27,8203,9987,2,1,home_win
493018,1,1,2008/2009,24,2009-02-28,9986,9998,3,0,home_win
493019,1,1,2008/2009,24,2009-03-01,9985,9984,4,0,home_win
493020,1,1,2008/2009,24,2009-03-01,9994,9991,0,1,away_win
493021,1,1,2008/2009,24,2009-02-28,8342,9999,2,1,home_win
493022,1,1,2008/2009,24,2009-02-28,9993,8571,3,0,home_win
493023,1,1,2008/2009,24,2009-02-28,7947,4049,4,0,home_win
493024,1,1,2008/2009,24,2009-02-28,10000,10001,1,1,draw
493025,1,1,2008/2009,25,2009-03-08,9984,8342,1,3,away_win
493026,1,1,2008/2009,25,2009-03-06,9998,9985,0,1,away_win
493027,1,1,2008/2009,25,2009-03-07,8635,10000,2,0,home_win
493028,1,1,2008/2009,25,2009-03-07,8571,9994,2,3,away_win
493029,1,1,2008/2009,25,2009-03-07,9987,7947,4,3,home_win
493030,1,1,2008/2009,25,2009-03-08,10001,8203,0,1,away_win
493031,1,1,2008/2009,25,2009-03-07,9999,9996,2,0,home_win
493032,1,1,2008/2009,25,2009-03-07,9991,4049,2,0,home_win
493033,1,1,2008/2009,25,2009-03-07,9986,9993,0,0,draw
493034,1,1,2008/2009,26,2009-03-13,8203,8635,2,1,home_win
493035,1,1,2008/2009,26,2009-03-15,9985,9987,2,0,home_win
493036,1,1,2008/2009,26,2009-03-14,9993,9998,2,0,home_win
493037,1,1,2008/2009,26,2009-03-14,9994,9986,0,0,draw
493038,1,1,2008/2009,26,2009-03-14,7947,9984,1,0,home_win
493039,1,1,2008/2009,26,2009-03-15,8342,9991,1,4,away_win
493040,1,1,2008/2009,26,2009-03-14,10000,9999,0,0,draw
493041,1,1,2008/2009,26,2009-03-14,9996,8571,1,0,home_win
493042,1,1,2008/2009,26,2009-03-14,4049,10001,1,2,away_win
493043,1,1,2008/2009,27,2009-03-20,8571,8342,2,3,away_win
493044,1,1,2008/2009,27,2009-03-22,9986,9985,1,0,home_win
493045,1,1,2008/2009,27,2009-03-22,9991,10000,1,0,home_win
493046,1,1,2008/2009,27,2009-03-21,9998,9994,0,2,away_win
493047,1,1,2008/2009,27,2009-03-21,10001,7947,3,1,home_win
493048,1,1,2008/2009,27,2009-03-21,9999,8203,1,0,home_win
493049,1,1,2008/2009,27,2009-03-21,9984,9996,0,1,away_win
493050,1,1,2008/2009,27,2009-03-21,9987,4049,3,0,home_win
493051,1,1,2008/2009,27,2009-03-21,8635,9993,2,0,home_win
493052,1,1,2008/2009,28,2009-04-05,9994,8635,0,0,draw
493053,1,1,2008/2009,28,2009-04-04,9996,9998,3,2,home_win
493054,1,1,2008/2009,28,2009-04-04,8342,9986,2,1,home_win
493055,1,1,2008/2009,28,2009-04-04,10000,9984,3,1,home_win
493056,1,1,2008/2009,28,2009-04-04,7947,9991,1,1,draw
493057,1,1,2008/2009,28,2009-04-04,4049,9999,0,1,away_win
